CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
144,Sri Lanka,4.9,,,,,,,5.3,5.3,5.3,4.9,,,4.4,4.4,4.9,4.9,4.9,5.8,5.8,5.8,5.3,5.8,5.8
736,Sudan (former),,,,,,,,5.3,5.3,5.3,,,9.7,9.7,9.7,9.7,14.7,17.8,18.1,18.1,18.9,25.6,24.6,24.6
740,Suriname,7.8,,,,,,,15.7,15.7,15.7,15.7,,17.6,17.6,17.6,19.6,25.5,25.5,25.5,25.5,25.5,9.8,11.8,11.8
748,Swaziland,3.6,,,,,,,3.1,3.1,,3.1,3.1,3.1,3.1,10.8,10.8,10.8,10.8,10.8,13.8,13.6,13.6,13.6,13.6
752,Sweden,38.4,,,,,,,40.4,40.4,42.7,42.7,42.7,42.7,45.3,45.3,45.3,45.3,47.3,47,47,46.4,45,44.7,44.7
756,Switzerland,14,,,,,,,21,21,21,22.5,23,23,23,25,25,25,25,28.5,28.5,29,29,28.5,29
760,Syrian Arab Republic,9.2,,,,,,,9.6,9.6,10.4,10.4,10.4,10.4,10.4,12,12,12,12,12,12.4,12.4,12.4,12.4,12
762,Tajikistan,,,,,,,,2.8,2.8,2.8,2.8,15,12.7,12.7,12.7,12.7,17.5,17.5,17.5,17.5,17.5,19,19,19
764,Thailand,2.8,,,,,,,5.6,5.6,5.6,5.6,,9.2,9.2,9.2,8.8,10.8,8.7,11.7,11.7,13.3,13.3,15.8,15.8
807,Macedonia,,,,,,,,3.3,3.3,7.5,7.5,6.7,6.7,18.3,18.3,19.2,19.2,28.3,29.2,31.7,32.5,32.5,30.9,32.5
626,Timor-Leste,,,,,,,,,,,,,,26.1,26.1,25.3,25.3,25.3,29.2,29.2,29.2,29.2,32.3,38.5
768,Togo,5.2,,,,,,,1.2,1.2,1.2,,4.9,4.9,7.4,7.4,6.2,7.4,8.6,11.1,11.1,11.1,11.1,11.1,11.1
776,Tonga,0,,,,,,,0,0,0,,0,0,,0,0,3.4,3.3,3.3,3.1,3.1,0,3.6,3.6
780,Trinidad and Tobago,16.7,,,,,,,11.1,11.1,11.1,11.1,,16.7,19.4,19.4,19.4,19.4,19.4,26.8,26.8,26.8,28.6,28.6,28.6
788,Tunisia,4.3,,,,,,,6.7,6.7,7.4,11.5,11.5,11.5,11.5,11.5,22.8,22.8,22.8,22.8,22.8,27.6,27.6,26.7,26.7
792,Turkey,1.3,,,,,,,2.4,2.4,2.4,4.2,4.2,4.2,4.4,4.4,4.4,4.4,4.4,9.1,9.1,9.1,9.1,14.2,14.2
795,Turkmenistan,26,,,,,,,18,18,18,26,26,26,26,26,,16,16,16,16.8,16.8,16.8,16.8,16.8
798,Tuvalu,7.7,,,,,,,7.7,8.3,,0,0,0,0,0,0,0,0,0,0,0,0,6.7,6.7
800,Uganda,12.2,,,,,,,18.1,18.1,18.1,17.9,17.8,24.7,24.7,24.7,23.9,23.9,29.8,30.7,30.7,31.5,31.3,35,35
